<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,D,20210629,000000,342.0500000,343.0000000,339.5000000,341.6500000,2769180
MTSS,D,20210630,000000,342.0500000,343.3500000,340.0500000,341.3000000,4449930
MTSS,D,20210701,000000,341.3500000,343.8000000,340.9500000,343.3500000,3618920
MTSS,D,20210702,000000,343.0000000,350.9500000,342.4000000,349.5000000,10262670
MTSS,D,20210705,000000,350.0000000,350.6000000,347.5000000,349.3000000,6421930
MTSS,D,20210706,000000,349.3000000,349.9500000,347.5000000,349.5500000,10630170
MTSS,D,20210707,000000,325.2000000,326.3000000,323.0500000,324.3500000,10872700
MTSS,D,20210708,000000,323.7500000,324.3500000,317.0000000,318.2000000,8965630
MTSS,D,20210709,000000,318.6500000,319.8000000,316.8000000,319.3500000,3768090
MTSS,D,20210712,000000,319.8000000,324.2500000,319.4500000,324.0000000,3155430
MTSS,D,20210713,000000,323.5500000,324.7500000,321.7000000,323.7000000,2908580
MTSS,D,20210714,000000,323.7000000,324.0000000,321.3500000,323.7000000,2958740
MTSS,D,20210715,000000,323.7000000,324.2000000,322.1500000,322.2000000,1558110
MTSS,D,20210716,000000,323.0000000,323.3000000,319.4500000,320.5500000,3255490
MTSS,D,20210719,000000,319.8500000,320.6000000,315.2500000,317.1000000,4441020
MTSS,D,20210720,000000,317.5000000,318.9000000,315.3000000,316.0500000,3426980
MTSS,D,20210721,000000,316.6000000,318.0500000,315.8500000,317.1500000,2014110
MTSS,D,20210722,000000,317.5500000,318.3500000,315.4000000,316.4500000,2997370
MTSS,D,20210723,000000,316.9000000,318.8000000,315.9000000,316.2000000,3687020
MTSS,D,20210726,000000,316.4000000,319.6000000,316.2000000,319.3500000,1853590
MTSS,D,20210727,000000,319.4000000,319.6500000,316.2500000,316.8500000,2544900
MTSS,D,20210728,000000,316.8500000,319.1500000,316.7000000,318.1500000,2525190
MTSS,D,20210729,000000,318.6000000,318.7500000,316.7500000,318.0000000,2570360
MTSS,D,20210730,000000,317.9500000,318.8000000,314.2000000,316.1000000,4935060
MTSS,D,20210802,000000,316.8500000,317.8000000,315.6500000,316.8500000,3267120
MTSS,D,20210803,000000,316.9500000,317.3000000,315.9000000,317.3000000,2102940
MTSS,D,20210804,000000,317.3000000,317.5000000,315.7500000,316.4000000,2828090
MTSS,D,20210805,000000,316.8500000,317.3000000,316.0000000,316.6000000,2593950
MTSS,D,20210806,000000,316.6500000,317.3500000,315.9000000,316.1000000,2655400
MTSS,D,20210809,000000,316.4000000,317.4500000,316.1000000,316.5000000,1895420
MTSS,D,20210810,000000,316.9000000,317.8500000,316.1500000,317.1000000,2396610
MTSS,D,20210811,000000,317.1000000,319.2000000,317.1000000,318.1000000,3576340
MTSS,D,20210812,000000,318.4000000,320.9000000,318.1000000,319.7000000,3075640
MTSS,D,20210813,000000,320.0000000,320.5000000,318.2500000,318.8500000,1752710
MTSS,D,20210816,000000,318.5000000,320.0000000,318.5000000,318.7000000,2748650
MTSS,D,20210817,000000,318.7000000,321.5000000,318.7000000,320.9500000,2626050
MTSS,D,20210818,000000,321.6500000,324.3500000,321.0500000,323.0000000,4395420
MTSS,D,20210819,000000,322.8000000,324.5000000,319.0500000,323.3000000,3712250
MTSS,D,20210820,000000,323.5000000,325.1000000,321.6500000,324.2000000,3298650
MTSS,D,20210823,000000,325.4000000,328.2000000,323.8500000,327.4500000,3934450
MTSS,D,20210824,000000,327.2500000,330.0000000,327.2500000,329.8500000,5092680
MTSS,D,20210825,000000,329.8000000,331.9000000,329.2500000,330.4000000,4747550
MTSS,D,20210826,000000,330.3000000,332.4000000,328.7000000,331.1500000,3407940
MTSS,D,20210827,000000,331.1500000,331.4500000,328.2000000,329.3500000,3087870
MTSS,D,20210830,000000,329.4500000,330.5000000,328.0500000,329.1000000,2416450
MTSS,D,20210831,000000,329.5000000,331.6500000,327.2500000,330.1500000,3843750
MTSS,D,20210901,000000,330.3500000,331.9500000,329.1500000,330.4000000,2810040
MTSS,D,20210902,000000,330.7500000,330.9000000,326.5500000,328.1000000,3424370
MTSS,D,20210903,000000,328.0000000,330.5000000,327.8000000,329.1000000,2371120
MTSS,D,20210906,000000,329.6000000,330.3000000,327.1500000,328.0500000,2995630
MTSS,D,20210907,000000,328.0000000,329.8000000,328.0000000,328.6000000,1716570
MTSS,D,20210908,000000,328.8500000,331.7000000,325.8000000,329.2500000,4978800
MTSS,D,20210909,000000,329.3500000,329.9000000,328.3000000,328.8500000,2226430
MTSS,D,20210910,000000,329.2000000,331.5000000,329.0500000,330.3500000,2983550
MTSS,D,20210913,000000,331.4000000,334.4000000,330.0000000,333.5500000,4526610
MTSS,D,20210914,000000,334.1500000,334.2500000,330.1500000,332.6500000,6534280
MTSS,D,20210915,000000,333.0000000,333.9000000,328.1000000,329.6500000,4245770
MTSS,D,20210916,000000,329.6000000,329.9000000,326.6000000,329.6500000,4373120
MTSS,D,20210917,000000,329.6500000,333.1000000,329.5000000,330.3500000,5627130
MTSS,D,20210920,000000,329.9500000,329.9500000,325.8000000,328.0000000,3424190
MTSS,D,20210921,000000,329.0000000,329.7500000,327.0000000,328.4000000,2165710
MTSS,D,20210922,000000,329.7000000,329.7000000,326.8000000,328.0000000,5315450
MTSS,D,20210923,000000,328.6000000,329.0000000,326.8500000,327.9500000,4174640
MTSS,D,20210924,000000,327.7500000,332.9500000,327.0000000,331.7500000,4172580
MTSS,D,20210927,000000,332.0500000,333.4000000,330.6500000,331.9000000,2582870
MTSS,D,20210928,000000,331.6000000,332.9000000,327.1500000,330.1000000,2622720
MTSS,D,20210929,000000,330.0000000,330.7000000,328.4500000,329.7000000,2001660
MTSS,D,20210930,000000,330.1000000,330.4500000,328.0500000,330.1000000,2524970
MTSS,D,20211001,000000,329.6000000,329.6000000,327.7000000,328.8500000,2303470
MTSS,D,20211004,000000,328.7500000,330.4500000,326.7000000,327.3500000,3108800
MTSS,D,20211005,000000,327.2500000,328.7500000,325.0500000,327.7000000,3768830
MTSS,D,20211006,000000,327.4500000,328.8000000,326.4000000,327.5500000,3092680
MTSS,D,20211007,000000,327.5000000,329.9500000,327.2500000,328.5000000,3431640
MTSS,D,20211008,000000,328.9000000,329.8000000,327.4500000,328.9000000,6585600
MTSS,D,20211011,000000,319.8000000,321.8500000,318.3000000,319.0000000,9957660
MTSS,D,20211012,000000,319.2500000,320.0000000,317.4000000,318.0500000,4552830
MTSS,D,20211013,000000,318.0000000,318.4000000,315.6500000,317.1500000,4846660
MTSS,D,20211014,000000,317.3000000,321.5000000,317.2000000,319.5500000,3435070
MTSS,D,20211015,000000,319.5500000,321.0000000,318.0000000,318.8000000,2151920
MTSS,D,20211018,000000,318.8500000,320.0000000,316.3000000,319.4000000,3718560
MTSS,D,20211019,000000,319.8000000,320.5000000,318.1500000,319.1000000,1576570
MTSS,D,20211020,000000,319.1000000,319.9500000,317.8500000,319.2500000,1887550
MTSS,D,20211021,000000,318.8500000,319.2000000,316.1500000,316.8500000,2876140
MTSS,D,20211022,000000,316.9000000,318.0000000,315.4500000,316.2500000,3040480
MTSS,D,20211025,000000,316.2500000,316.8000000,314.5500000,316.2500000,2091000
MTSS,D,20211026,000000,316.2500000,316.3500000,313.5000000,313.9500000,3789200
MTSS,D,20211027,000000,314.0000000,314.0000000,311.6000000,312.9000000,3256590
MTSS,D,20211028,000000,313.0000000,313.5000000,310.0000000,312.2000000,3772620
MTSS,D,20211029,000000,311.9500000,313.7000000,310.0500000,311.3500000,4378150
MTSS,D,20211101,000000,311.4500000,313.6000000,310.5000000,312.8500000,2584520
MTSS,D,20211102,000000,312.9500000,315.3500000,311.7500000,313.3500000,3502310
MTSS,D,20211103,000000,313.6000000,313.9500000,311.2500000,313.6000000,1543790
MTSS,D,20211105,000000,313.6000000,315.0500000,312.5000000,313.2000000,1813850
MTSS,D,20211108,000000,313.5000000,314.7000000,313.1500000,313.5500000,1845190
MTSS,D,20211109,000000,314.1500000,317.2000000,312.8000000,316.0500000,3842030
MTSS,D,20211110,000000,316.5000000,317.3000000,314.8500000,316.2000000,2416180
MTSS,D,20211111,000000,316.9000000,318.2000000,315.6500000,316.4500000,1799920
MTSS,D,20211112,000000,316.4500000,318.2000000,315.2500000,317.7500000,2210240
MTSS,D,20211115,000000,318.0000000,318.3000000,315.7500000,316.8000000,1599030
MTSS,D,20211116,000000,318.0000000,318.7500000,316.5000000,317.5000000,1710590
MTSS,D,20211117,000000,317.5500000,318.4000000,311.9500000,312.5000000,5819170
MTSS,D,20211118,000000,312.3000000,314.8000000,311.4000000,312.8000000,3614260
MTSS,D,20211119,000000,314.6000000,314.6000000,310.0000000,310.1000000,3090820
MTSS,D,20211122,000000,309.1000000,311.8000000,305.1500000,305.2000000,7280020
MTSS,D,20211123,000000,305.0500000,309.4000000,301.7000000,307.4500000,5540080
MTSS,D,20211124,000000,308.4500000,308.8500000,303.5500000,305.5000000,2809710
MTSS,D,20211125,000000,305.7500000,307.3000000,304.1000000,306.0500000,1401110
MTSS,D,20211126,000000,304.3000000,304.9000000,298.0000000,299.0500000,5947670
MTSS,D,20211129,000000,301.0000000,301.6000000,294.8000000,296.5000000,5030820
MTSS,D,20211130,000000,295.8000000,296.0000000,291.0000000,293.7500000,4411800
